table_name,info_type,name,data_type,details,sort_order
activity_logs,COLUMN,id,uuid,NOT NULL,1
activity_logs,COLUMN,organization_id,uuid,NOT NULL,2
activity_logs,COLUMN,user_id,uuid,NULL,3
activity_logs,COLUMN,member_id,uuid,NULL,4
activity_logs,COLUMN,action_type,character varying,NOT NULL,5
activity_logs,COLUMN,action_description,text,NOT NULL,6
activity_logs,COLUMN,entity_type,character varying,NULL,7
activity_logs,COLUMN,entity_id,uuid,NULL,8
activity_logs,COLUMN,ip_address,character varying,NULL,9
activity_logs,COLUMN,user_agent,text,NULL,10
activity_logs,COLUMN,changes,jsonb,NULL,11
activity_logs,COLUMN,created_at,timestamp with time zone,NULL,12
activity_logs,COLUMN,deleted_at,timestamp with time zone,NULL,13
activity_logs,RLS POLICY,System can create activity logs,INSERT,RESTRICTIVE,999
activity_logs,RLS POLICY,Users can view activity logs in their organization,SELECT,RESTRICTIVE,999
ai_voice_notes,COLUMN,id,uuid,NOT NULL,1
ai_voice_notes,COLUMN,organization_id,uuid,NOT NULL,2
ai_voice_notes,COLUMN,member_id,uuid,NOT NULL,3
ai_voice_notes,COLUMN,recorded_by_user_id,uuid,NOT NULL,4
ai_voice_notes,COLUMN,audio_url,text,NULL,5
ai_voice_notes,COLUMN,transcription,text,NULL,6
ai_voice_notes,COLUMN,summary,text,NULL,7
ai_voice_notes,COLUMN,urgency_level,USER-DEFINED,NOT NULL,8
ai_voice_notes,COLUMN,category,USER-DEFINED,NULL,9
ai_voice_notes,COLUMN,status,USER-DEFINED,NULL,10
ai_voice_notes,COLUMN,assigned_to_user_id,uuid,NULL,11
ai_voice_notes,COLUMN,is_private,boolean,NULL,12
ai_voice_notes,COLUMN,followup_date,date,NULL,13
ai_voice_notes,COLUMN,resolved_at,timestamp with time zone,NULL,14
ai_voice_notes,COLUMN,created_at,timestamp with time zone,NULL,15
ai_voice_notes,COLUMN,updated_at,timestamp with time zone,NULL,16
ai_voice_notes,COLUMN,deleted_at,timestamp with time zone,NULL,17
ai_voice_notes,RLS POLICY,Users can manage AI voice notes,ALL,RESTRICTIVE,999
ai_voice_notes,RLS POLICY,Users can view AI voice notes in their organization,SELECT,RESTRICTIVE,999
branches,COLUMN,id,uuid,NOT NULL,1
